Entry Date,Exit Date,Holding Days,PnL (%)
2015-03-17,2015-04-22,26,1.5182934427097505
2015-04-23,2015-06-18,40,-0.6623296822231728
2015-10-23,2015-12-16,38,-3.975494566269988
2016-03-08,2016-05-02,39,-8.026975013716175
2016-07-14,2016-11-09,84,15.804038085146699
2016-12-16,2017-06-20,127,27.35915052347093
2017-07-26,2017-09-26,44,-1.0960706835624445
2017-10-30,2018-02-02,66,3.2198358933257287
2018-02-27,2018-04-02,24,-6.29938007876687
2018-04-16,2018-04-25,8,-6.794027816820824
2018-05-09,2018-07-06,41,-0.014913757347578827
2018-07-13,2018-10-22,71,15.149026466996363
2019-02-07,2019-05-21,72,5.8827559096760185
2019-06-21,2020-03-02,175,38.241952425286364
2020-04-23,2020-09-25,109,57.41273671707512
2020-10-14,2020-10-28,11,-3.7640725475998282
2020-11-13,2021-02-24,69,5.683310587605539
2021-04-14,2021-05-18,25,-5.957972917756615
2021-06-22,2021-09-23,66,10.352184530090348
2021-10-28,2022-01-26,62,7.446531125851341
2022-02-10,2022-02-17,6,-2.1654782584470844
2022-03-29,2022-04-25,19,-7.910117578075926
2022-07-18,2022-09-12,40,4.88712779895808
2022-11-22,2022-12-12,14,-4.000097893335585
2023-01-30,2023-08-11,135,22.24909738245364
2023-10-18,2023-10-24,5,-2.3916669688934244
2023-11-13,2024-01-10,40,-0.7258354113865217
2024-01-31,2024-02-06,5,-0.24183182576380524
2024-05-07,2024-08-13,68,19.95396933818714
2024-08-20,2024-09-16,19,-1.549907432350106
2024-09-24,2024-11-12,36,-0.929618046421099
2024-11-26,2025-01-17,35,-2.0284195026366136
2025-02-25,2025-03-11,11,-7.986137011851346
2025-05-22,2025-05-29,5,-0.876034612616905
